jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,price_range_low,price_range_high,range_basis,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
12,nfl:gsis:00-0032764,15514,Derrick Henry,RB,BAL,48.2,42.1,54.2,historical_forward_error_p80:RB,50,16.0,17.0,255.542,58,
13,nfl:gsis:00-0039040,23136,De'Von Achane,RB,MIA,47.8,41.8,53.9,historical_forward_error_p80:RB,45,10.0,14.0,227.129,52,
14,nfl:gsis:00-0036322,19236,Justin Jefferson,WR,MIN,46.7,40.0,53.4,historical_forward_error_p80:WR,48,11.0,12.0,173.863,54,
15,nfl:gsis:00-0040122,25989,Ashton Jeanty,RB,LV,44.5,38.4,50.5,historical_forward_error_p80:RB,36,14.0,13.0,217.985,51,
16,nfl:gsis:00-0038597,25324,Chase Brown,RB,CIN,40.1,34.0,46.2,historical_forward_error_p80:RB,33,22.0,15.0,214.782,46,
17,nfl:gsis:00-0038134,23021,Kenneth Walker III,RB,KC,39.6,33.5,45.7,historical_forward_error_p80:RB,37,21.0,16.0,212.193,24,
18,nfl:gsis:00-0037238,23163,Drake London,WR,ATL,39.2,32.5,45.9,historical_forward_error_p80:WR,43,15.0,19.0,185.376,41,
19,nfl:gsis:00-0040666,25395,Omarion Hampton,RB,LAC,36.9,30.8,43.0,historical_forward_error_p80:RB,34,25.0,18.0,203.971,35,
20,nfl:gsis:00-0041027,25403,Jeremiyah Love,RB,ARI,34.3,28.2,40.4,historical_forward_error_p80:RB,35,18.0,26.0,200.684,,prior_jugg_salary
21,nfl:gsis:00-0037744,22936,Trey McBride,TE,ARI,34.3,29.3,39.2,historical_forward_error_p80:TE,38,17.0,25.0,145.308,30,
22,nfl:gsis:00-0034857,17298,Josh Allen,QB,BUF,33.9,29.1,38.7,historical_forward_error_p80:QB,22,19.0,20.0,399.899,38,
23,nfl:gsis:00-0039338,22955,Brock Bowers,TE,LV,33.7,28.8,38.7,historical_forward_error_p80:TE,32,23.0,21.0,147.446,41,
24,nfl:gsis:00-0036554,20130,Nico Collins,WR,HOU,31.1,24.4,37.8,historical_forward_error_p80:WR,31,26.0,22.0,169.779,42,
25,nfl:gsis:00-0035676,18218,A.J. Brown,WR,NE,29.8,23.1,36.5,historical_forward_error_p80:WR,30,24.0,24.0,167.492,37,
26,nfl:gsis:00-0039067,23113,Rashee Rice,WR,KC,29.8,23.1,36.5,historical_forward_error_p80:WR,40,20.0,33.0,174.945,1,
27,nfl:gsis:00-0035700,18269,Josh Jacobs,RB,GB,29.3,23.3,35.4,historical_forward_error_p80:RB,27,31.0,29.0,213.274,44,
28,nfl:gsis:00-0037247,22963,George Pickens,WR,DAL,27.9,21.2,34.6,historical_forward_error_p80:WR,28,27.0,23.0,169.491,5,
29,nfl:gsis:00-0038120,22982,Breece Hall,RB,NYJ,27.7,21.6,33.8,historical_forward_error_p80:RB,32,28.0,35.0,199.048,21,
30,nfl:gsis:00-0037840,23059,Kyren Williams,RB,LAR,25.9,19.8,31.9,historical_forward_error_p80:RB,21,38.0,28.0,206.323,37,
31,nfl:gsis:00-0039337,25409,Malik Nabers,WR,NYG,25.9,19.2,32.6,historical_forward_error_p80:WR,29,30.0,30.0,159.298,40,
32,nfl:gsis:00-0037239,20111,Chris Olave,WR,NO,25.0,18.3,31.7,historical_forward_error_p80:WR,30,29.0,31.0,166.21,2,
33,nfl:gsis:00-0036997,22739,Javonte Williams,RB,DAL,24.9,18.8,31.0,historical_forward_error_p80:RB,26,33.0,34.0,201.141,3,
34,nfl:gsis:00-0031484,14014,Chris Manhertz,TE,NYG,23.6,18.6,28.5,historical_forward_error_p80:TE,,486.0,,2.331,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
35,nfl:gsis:00-0033576,16706,Eric Saubert,TE,SEA,23.3,18.3,28.2,historical_forward_error_p80:TE,,483.0,,5.199,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
36,nfl:gsis:00-0037292,24561,Drew Ogletree,TE,IND,23.1,18.1,28.0,historical_forward_error_p80:TE,,481.0,,5.185,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
37,nfl:gsis:00-0040887,28155,Josh Cuevas,TE,BAL,23.1,18.1,28.0,historical_forward_error_p80:TE,,482.0,,10.521,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
38,nfl:gsis:00-0037311,24568,Ko Kieft,TE,TB,22.9,17.9,27.8,historical_forward_error_p80:TE,,479.0,,5.346,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
39,nfl:gsis:00-0040566,27251,CJ Dippre,TE,NE,22.8,17.8,27.7,historical_forward_error_p80:TE,,478.0,,5.292,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
40,nfl:gsis:00-0041472,28157,Marlin Klein,TE,HOU,22.6,17.7,27.6,historical_forward_error_p80:TE,,480.0,,25.777,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
41,nfl:gsis:00-0036176,19704,Mason Kinsey,WR,TEN,22.5,15.8,29.2,historical_forward_error_p80:WR,,492.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
42,nfl:gsis:00-0038640,25468,Jalen Brooks,WR,ARI,22.4,15.7,29.1,historical_forward_error_p80:WR,,491.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
43,nfl:gsis:00-0041100,28137,Josh Cameron,WR,JAX,22.3,15.6,29.0,historical_forward_error_p80:WR,,490.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
44,nfl:gsis:00-0037132,24234,Britain Covey,WR,PHI,22.2,15.5,28.8,historical_forward_error_p80:WR,,489.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
45,nfl:gsis:00-0038576,25336,Charlie Jones,WR,CIN,22.1,15.4,28.7,historical_forward_error_p80:WR,,488.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
46,nfl:gsis:00-0036887,19501,Luke Farrell,TE,SF,22.1,17.2,27.1,historical_forward_error_p80:TE,,472.0,,5.685,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
47,nfl:gsis:00-0041081,28434,Max Bredeson,RB,MIN,21.9,15.8,28.0,historical_forward_error_p80:RB,,474.0,,5.111,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
48,nfl:gsis:00-0040582,22965,Arian Smith,WR,NYJ,21.6,14.9,28.3,historical_forward_error_p80:WR,,487.0,,3.488,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
49,nfl:gsis:00-0037304,24562,Connor Heyward,TE,LV,21.6,16.7,26.6,historical_forward_error_p80:TE,,470.0,,22.3,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
50,nfl:gsis:00-0031595,14191,Michael Burton,RB,CLE,21.5,15.4,27.6,historical_forward_error_p80:RB,,471.0,,11.453,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
51,nfl:gsis:00-0036727,23451,Adam Prentice,RB,DEN,21.4,15.3,27.4,historical_forward_error_p80:RB,,469.0,,6.328,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
52,nfl:gsis:00-0039050,25346,Payne Durham,TE,TB,21.3,16.4,26.3,historical_forward_error_p80:TE,,465.0,,10.735,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
53,nfl:gsis:00-0038783,25881,Nate Adkins,TE,DEN,21.1,16.1,26.0,historical_forward_error_p80:TE,,464.0,,19.819,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
54,nfl:gsis:00-0035125,18571,Alec Ingold,RB,LAC,21.0,14.9,27.1,historical_forward_error_p80:RB,,466.0,,8.466,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
55,nfl:gsis:00-0039074,23761,Davis Allen,TE,LAR,20.9,15.9,25.8,historical_forward_error_p80:TE,,463.0,,26.893,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
56,nfl:gsis:00-0036912,19222,DeVonta Smith,WR,PHI,20.8,14.1,27.4,historical_forward_error_p80:WR,18,35.0,27.0,149.035,6,
57,nfl:gsis:00-0037805,23742,Jeremy Ruckert,TE,NYJ,20.7,15.8,25.7,historical_forward_error_p80:TE,,461.0,,22.235,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
58,nfl:gsis:00-0039912,26310,Ben Sinnott,TE,WAS,20.6,15.7,25.6,historical_forward_error_p80:TE,,460.0,,19.816,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
59,nfl:gsis:00-0038115,24238,Daniel Bellinger,TE,TEN,20.4,15.5,25.4,historical_forward_error_p80:TE,,459.0,,32.628,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
60,nfl:gsis:00-0040715,27166,Cam Skattebo,RB,NYG,20.3,14.2,26.4,historical_forward_error_p80:RB,20,39.0,39.0,191.676,1,
61,nfl:gsis:00-0039920,26023,Malachi Corley,WR,CLE,20.3,13.6,27.0,historical_forward_error_p80:WR,,475.0,,7.465,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
62,nfl:gsis:00-0038046,22756,Charlie Kolar,TE,LAC,20.2,15.3,25.2,historical_forward_error_p80:TE,,457.0,,35.134,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
63,nfl:gsis:00-0035631,18561,Drew Sample,TE,CIN,20.2,15.3,25.2,historical_forward_error_p80:TE,,456.0,,21.412,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
64,nfl:gsis:00-0038839,24370,Mitch Tinsley,WR,CIN,20.1,13.4,26.8,historical_forward_error_p80:WR,,473.0,,6.458,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
65,nfl:gsis:00-0041510,27993,Max Klare,TE,LAR,19.9,14.9,24.8,historical_forward_error_p80:TE,,451.0,,12.298,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
66,nfl:gsis:00-0038896,25693,Jacob Saylors,RB,DET,19.8,13.7,25.9,historical_forward_error_p80:RB,,450.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
67,nfl:gsis:00-0036973,19231,Travis Etienne Jr.,RB,NO,19.6,13.5,25.7,historical_forward_error_p80:RB,22,41.0,43.0,189.663,1,
68,nfl:gsis:00-0038679,25813,Tyrell Shavers,WR,BUF,19.6,12.9,26.3,historical_forward_error_p80:WR,,468.0,,6.872,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
69,nfl:gsis:00-0040581,27288,Dont'e Thornton Jr.,WR,LV,19.4,12.8,26.1,historical_forward_error_p80:WR,,467.0,,9.977,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
70,nfl:gsis:00-0034796,17233,Lamar Jackson,QB,BAL,18.9,14.1,23.7,historical_forward_error_p80:QB,10,34.0,37.0,353.255,38,
71,nfl:gsis:00-0040170,27059,Elic Ayomanor,WR,TEN,18.7,12.0,25.4,historical_forward_error_p80:WR,,462.0,,54.038,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
72,nfl:gsis:00-0039064,22916,Zay Flowers,WR,BAL,18.3,11.6,24.9,historical_forward_error_p80:WR,19,36.0,36.0,160.51,6,
73,nfl:gsis:00-0035208,18864,Olamide Zaccheaus,WR,ATL,18.2,11.6,24.9,historical_forward_error_p80:WR,,458.0,,39.376,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
74,nfl:gsis:00-0041067,28129,Bryce Lance,WR,NO,18.0,11.3,24.7,historical_forward_error_p80:WR,,455.0,,24.36,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
75,nfl:gsis:00-0039451,26379,Isaiah Williams,WR,NYJ,17.9,11.2,24.6,historical_forward_error_p80:WR,,454.0,,24.302,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
76,nfl:gsis:00-0036626,20113,Dyami Brown,WR,WAS,17.8,11.1,24.4,historical_forward_error_p80:WR,,453.0,,30.871,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
77,nfl:gsis:00-0040124,25417,Tetairoa McMillan,WR,CAR,17.8,11.1,24.5,historical_forward_error_p80:WR,22,37.0,40.0,152.5,3,
78,nfl:gsis:00-0040894,26012,Malik Benson,WR,LV,17.7,11.0,24.4,historical_forward_error_p80:WR,,452.0,,50.722,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
79,nfl:gsis:00-0040129,23062,Emeka Egbuka,WR,TB,17.5,10.8,24.2,historical_forward_error_p80:WR,24,42.0,42.0,155.113,1,
80,nfl:gsis:00-0040126,26006,Colston Loveland,TE,CHI,17.4,12.4,22.3,historical_forward_error_p80:TE,13,40.0,38.0,132.327,,prior_jugg_salary
81,nfl:gsis:00-0039750,26478,Joshua Karty,K,FA,17.4,14.9,19.9,historical_forward_error_p80:K,,445.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
82,nfl:gsis:00-0036410,19211,Tee Higgins,WR,CIN,17.1,10.4,23.8,historical_forward_error_p80:WR,15,51.0,32.0,150.936,36,
83,nfl:gsis:00-0033699,16483,Austin Ekeler,RB,FA,17.0,10.9,23.1,historical_forward_error_p80:RB,,436.0,,27.1,1,espn_salary_cap_value;adp_yahoo
84,nfl:gsis:00-0040202,23682,Devin Neal,RB,NO,16.9,10.8,23.0,historical_forward_error_p80:RB,,426.0,,16.75,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
85,nfl:gsis:00-0041129,27326,Jam Miller,RB,NE,16.9,10.8,23.0,historical_forward_error_p80:RB,,427.0,,23.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
86,nfl:gsis:00-0037740,23072,Garrett Wilson,WR,NYJ,16.6,10.0,23.3,historical_forward_error_p80:WR,23,32.0,49.0,146.57,11,
87,nfl:gsis:00-0039021,25322,Roschon Johnson,RB,CHI,16.4,10.3,22.4,historical_forward_error_p80:RB,,422.0,,31.4,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
88,nfl:gsis:00-0040784,25391,Quinshon Judkins,RB,CLE,16.0,9.9,22.0,historical_forward_error_p80:RB,21,49.0,52.0,182.793,2,
89,nfl:gsis:00-0039361,25981,Bucky Irving,RB,TB,15.7,9.6,21.8,historical_forward_error_p80:RB,19,50.0,55.0,183.782,35,
90,nfl:gsis:00-0031381,12123,Davante Adams,WR,LAR,15.5,8.8,22.2,historical_forward_error_p80:WR,25,43.0,51.0,153.436,6,
91,nfl:gsis:00-0036265,19358,AJ Dillon,RB,CAR,15.3,9.2,21.3,historical_forward_error_p80:RB,,414.0,,81.5,2,espn_salary_cap_value;adp_yahoo
92,nfl:gsis:00-0035291,18607,Trayveon Williams,RB,DET,15.1,9.0,21.2,historical_forward_error_p80:RB,,408.0,,27.5,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
93,nfl:gsis:00-0039603,26748,British Brooks,RB,HOU,15.0,9.0,21.1,historical_forward_error_p80:RB,,404.0,,2.363,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
94,nfl:gsis:00-0036898,22799,Davis Mills,QB,HOU,15.0,10.2,19.8,historical_forward_error_p80:QB,,485.0,,11.979,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
95,nfl:gsis:00-0038589,22923,Josh Whyle,TE,GB,14.6,9.7,19.5,historical_forward_error_p80:TE,,395.0,,9.868,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
96,nfl:gsis:00-0036187,19844,Reggie Gilliam,RB,NE,14.6,8.5,20.7,historical_forward_error_p80:RB,,399.0,,3.838,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
97,nfl:gsis:00-0034270,17598,Tyler Conklin,TE,DET,14.6,9.6,19.5,historical_forward_error_p80:TE,,394.0,,5.232,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
98,nfl:gsis:00-0041077,28079,Justin Joly,TE,DEN,14.4,9.5,19.4,historical_forward_error_p80:TE,,392.0,,5.525,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
99,nfl:gsis:00-0033589,16757,David Moore,WR,CAR,14.3,7.6,21.0,historical_forward_error_p80:WR,,410.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
100,nfl:gsis:00-0041087,27312,Joe Royer,TE,CLE,14.2,9.2,19.1,historical_forward_error_p80:TE,,390.0,,8.68,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
101,nfl:gsis:00-0040206,25373,Riley Leonard,QB,IND,14.1,9.3,19.0,historical_forward_error_p80:QB,,477.0,,13.741,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
102,nfl:gsis:00-0039851,23046,Drake Maye,QB,NE,14.0,9.2,18.8,historical_forward_error_p80:QB,10,44.0,46.0,350.929,1,
103,nfl:gsis:00-0041041,25430,Oscar Delp,TE,NO,14.0,9.0,18.9,historical_forward_error_p80:TE,,389.0,,13.886,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
104,nfl:gsis:00-0040128,26434,Tyler Warren,TE,IND,13.9,8.9,18.8,historical_forward_error_p80:TE,13,45.0,45.0,120.195,1,
105,nfl:gsis:00-0040075,27447,LaJohntay Wester,WR,BAL,13.8,7.1,20.5,historical_forward_error_p80:WR,,405.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
106,nfl:gsis:00-0041503,28427,Nate Boerkircher,TE,JAX,13.7,8.7,18.6,historical_forward_error_p80:TE,,387.0,,22.3,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
107,nfl:gsis:00-0034798,17508,Durham Smythe,TE,BAL,13.6,8.6,18.5,historical_forward_error_p80:TE,,384.0,,13.683,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
108,nfl:gsis:00-0039915,26122,Ladd McConkey,WR,LAC,13.4,6.7,20.1,historical_forward_error_p80:WR,15,47.0,44.0,141.053,27,
109,nfl:gsis:00-0036862,22843,Ben Skowronek,WR,PIT,13.3,6.6,20.0,historical_forward_error_p80:WR,,403.0,,2.075,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
110,nfl:gsis:00-0037012,20082,Trey Lance,QB,LAC,13.3,8.4,18.1,historical_forward_error_p80:QB,,476.0,,11.422,2,espn_salary_cap_value;adp_yahoo
111,nfl:gsis:00-0039359,25269,Cade Stover,TE,HOU,13.1,8.2,18.1,historical_forward_error_p80:TE,,380.0,,18.163,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
112,nfl:gsis:00-0033881,16411,Evan Engram,TE,DEN,13.1,8.2,18.1,historical_forward_error_p80:TE,0,375.0,,63.692,1,adp_yahoo
113,nfl:gsis:00-0038090,23905,Skyy Moore,WR,GB,13.1,6.4,19.8,historical_forward_error_p80:WR,,406.0,,0.0,2,espn_salary_cap_value;adp_yahoo
114,nfl:gsis:00-0041070,28141,Reggie Virgil,WR,ARI,12.9,6.2,19.6,historical_forward_error_p80:WR,,398.0,,4.705,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
115,nfl:gsis:00-0038979,25287,Cedric Tillman,WR,CLE,12.8,6.1,19.4,historical_forward_error_p80:WR,,401.0,,36.012,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
116,nfl:gsis:00-0041524,28403,Will Kacmarek,TE,MIA,12.8,7.9,17.8,historical_forward_error_p80:TE,,378.0,,35.23,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
117,nfl:gsis:00-0032392,15581,Austin Hooper,TE,ATL,12.6,7.7,17.6,historical_forward_error_p80:TE,,376.0,,33.159,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
118,nfl:gsis:00-0039910,22902,Jayden Daniels,QB,WAS,12.5,7.7,17.3,historical_forward_error_p80:QB,10,46.0,53.0,346.325,25,
119,nfl:gsis:00-0036893,19302,Najee Harris,RB,NYG,12.5,6.4,18.6,historical_forward_error_p80:RB,0,374.0,,51.293,1,adp_yahoo
120,nfl:gsis:00-0036275,19210,D'Andre Swift,RB,CHI,12.4,6.3,18.5,historical_forward_error_p80:RB,8,58.0,47.0,188.269,7,
121,nfl:gsis:00-0035500,18585,Greg Dortch,WR,DET,12.2,5.5,18.8,historical_forward_error_p80:WR,,391.0,,10.024,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
122,nfl:gsis:00-0036442,19196,Joe Burrow,QB,CIN,12.2,7.3,17.0,historical_forward_error_p80:QB,5,53.0,48.0,344.229,27,
123,nfl:gsis:00-0032775,15665,Demarcus Robinson,WR,SF,12.0,5.4,18.7,historical_forward_error_p80:WR,,393.0,,35.473,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
124,nfl:gsis:00-0036613,19790,Jaylen Waddle,WR,DEN,12.0,5.3,18.7,historical_forward_error_p80:WR,12,52.0,41.0,136.037,2,
125,nfl:gsis:00-0040646,27076,Jalen Royals,WR,KC,11.9,5.2,18.5,historical_forward_error_p80:WR,,388.0,,11.455,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
126,nfl:gsis:00-0036389,19275,Jalen Hurts,QB,PHI,11.6,6.8,16.5,historical_forward_error_p80:QB,9,48.0,56.0,344.583,29,
127,nfl:gsis:00-0040218,27294,Jimmy Horn Jr.,WR,CAR,11.6,4.9,18.3,historical_forward_error_p80:WR,,386.0,,14.476,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
128,nfl:gsis:00-0040237,27147,Tez Johnson,WR,TB,11.5,4.8,18.2,historical_forward_error_p80:WR,,385.0,,14.716,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
129,nfl:gsis:00-0034386,17603,Justin Watson,WR,HOU,11.3,4.6,18.0,historical_forward_error_p80:WR,,383.0,,16.404,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
130,nfl:gsis:00-0041550,28133,Brenen Thompson,WR,LAC,11.2,4.5,17.9,historical_forward_error_p80:WR,,382.0,,17.92,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
131,nfl:gsis:00-0040876,27463,Elijah Sarratt,WR,BAL,11.1,4.4,17.7,historical_forward_error_p80:WR,,381.0,,22.421,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
132,nfl:gsis:00-0035685,18239,David Montgomery,RB,HOU,10.8,4.8,16.9,historical_forward_error_p80:RB,9,61.0,50.0,165.465,5,
133,nfl:gsis:00-0039471,25980,Frank Gore Jr.,RB,BUF,10.7,4.6,16.8,historical_forward_error_p80:RB,,358.0,,32.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
134,nfl:gsis:00-0041558,28161,Sam Roush,TE,CHI,10.6,5.7,15.5,historical_forward_error_p80:TE,,348.0,,11.039,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
135,nfl:gsis:00-0033376,17145,Patrick Ricard,RB,NYG,10.5,4.4,16.6,historical_forward_error_p80:RB,,351.0,,3.484,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
136,nfl:gsis:00-0035659,18466,Terry McLaurin,WR,WAS,10.5,3.9,17.2,historical_forward_error_p80:WR,17,54.0,54.0,140.912,10,
137,nfl:gsis:00-0040719,27297,Bhayshul Tuten,RB,JAX,10.4,4.3,16.5,historical_forward_error_p80:RB,9,62.0,60.0,178.047,,prior_jugg_salary
138,nfl:gsis:00-0034775,17268,Christian Kirk,WR,SF,10.2,3.5,16.9,historical_forward_error_p80:WR,,379.0,,55.935,1,espn_salary_cap_value;adp_yahoo
139,nfl:gsis:00-0033862,16548,Zane Gonzalez,K,FA,10.2,7.7,12.6,historical_forward_error_p80:K,,366.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
140,nfl:gsis:00-0033217,16579,Mo Alie-Cox,TE,IND,9.6,4.7,14.6,historical_forward_error_p80:TE,,337.0,,16.725,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
141,nfl:gsis:00-0040906,22998,Garrett Nussmeier,QB,KC,9.5,4.7,14.3,historical_forward_error_p80:QB,,430.0,,10.24,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
142,nfl:gsis:00-0034419,17289,Braxton Berrios,WR,NYG,9.3,2.6,15.9,historical_forward_error_p80:WR,,352.0,,0.0,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
143,nfl:gsis:00-0038738,25941,Hunter Luepke,RB,DAL,9.3,3.2,15.3,historical_forward_error_p80:RB,,338.0,,16.39,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
144,nfl:gsis:00-0039386,26354,Bub Means,WR,NO,9.2,2.5,15.9,historical_forward_error_p80:WR,,357.0,,68.5,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
145,nfl:gsis:00-0039062,23030,Jonathan Mingo,WR,DAL,8.8,2.1,15.5,historical_forward_error_p80:WR,,350.0,,5.495,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
146,nfl:gsis:00-0040024,27866,Darius Cooper,WR,PHI,8.7,2.0,15.4,historical_forward_error_p80:WR,,349.0,,5.21,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
147,nfl:gsis:00-0041512,27329,Jadarian Price,RB,SEA,8.6,2.5,14.7,historical_forward_error_p80:RB,8,68.0,64.0,163.609,,prior_jugg_salary
148,nfl:gsis:00-0040154,27182,Tai Felton,WR,MIN,8.5,1.8,15.1,historical_forward_error_p80:WR,,346.0,,5.066,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
149,nfl:gsis:00-0039919,25411,Rome Odunze,WR,CHI,8.4,1.7,15.1,historical_forward_error_p80:WR,17,57.0,67.0,142.707,2,
150,nfl:gsis:00-0040734,23065,TreVeyon Henderson,RB,NE,8.4,2.3,14.4,historical_forward_error_p80:RB,8,67.0,59.0,156.609,14,
151,nfl:gsis:00-0039530,26003,Brevyn Spann-Ford,TE,DAL,8.2,3.3,13.2,historical_forward_error_p80:TE,,315.0,,5.593,,espn_salary_cap_value;adp_yahoo;prior_jugg_salary
