jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,uncalibrated_model_price,price_range_low,price_range_high,range_basis,draft_probability,draft_likelihood,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
38,nfl:gsis:00-0039064,22916,Zay Flowers,WR,BAL,17.1,18.3,10.9,23.3,historical_forward_error_p80:WR,1.0,very_likely,19,36.0,36.0,160.51,6,
39,nfl:gsis:00-0040124,25417,Tetairoa McMillan,WR,CAR,16.7,17.8,10.4,22.9,historical_forward_error_p80:WR,1.0,very_likely,22,37.0,40.0,152.5,3,
40,nfl:gsis:00-0040129,23062,Emeka Egbuka,WR,TB,16.4,17.5,10.2,22.6,historical_forward_error_p80:WR,0.9675,very_likely,24,42.0,42.0,155.113,1,
41,nfl:gsis:00-0040126,26006,Colston Loveland,TE,CHI,16.2,17.4,11.6,20.9,historical_forward_error_p80:TE,1.0,very_likely,13,40.0,38.0,132.327,,prior_jugg_salary
42,nfl:gsis:00-0036410,19211,Tee Higgins,WR,CIN,16.0,17.1,9.8,22.2,historical_forward_error_p80:WR,1.0,very_likely,15,51.0,32.0,150.936,36,
43,nfl:gsis:00-0037740,23072,Garrett Wilson,WR,NYJ,15.6,16.6,9.3,21.8,historical_forward_error_p80:WR,1.0,very_likely,23,32.0,49.0,146.57,11,
44,nfl:gsis:00-0040784,25391,Quinshon Judkins,RB,CLE,15.0,16.0,9.3,20.6,historical_forward_error_p80:RB,1.0,very_likely,21,49.0,52.0,182.793,2,
45,nfl:gsis:00-0039361,25981,Bucky Irving,RB,TB,14.7,15.7,9.0,20.3,historical_forward_error_p80:RB,1.0,very_likely,19,50.0,55.0,183.782,35,
46,nfl:gsis:00-0031381,12123,Davante Adams,WR,LAR,14.5,15.5,8.3,20.7,historical_forward_error_p80:WR,0.9942,very_likely,25,43.0,51.0,153.436,6,
47,nfl:gsis:00-0039851,23046,Drake Maye,QB,NE,13.1,14.0,8.6,17.6,historical_forward_error_p80:QB,0.9811,very_likely,10,44.0,46.0,350.929,1,
48,nfl:gsis:00-0040128,26434,Tyler Warren,TE,IND,13.0,13.9,8.4,17.6,historical_forward_error_p80:TE,0.9921,very_likely,13,45.0,45.0,120.195,1,
49,nfl:gsis:00-0039915,26122,Ladd McConkey,WR,LAC,12.6,13.4,6.3,18.8,historical_forward_error_p80:WR,1.0,very_likely,15,47.0,44.0,141.053,27,
50,nfl:gsis:00-0033881,16411,Evan Engram,TE,DEN,12.3,13.1,7.7,16.9,historical_forward_error_p80:TE,0.0,unlikely,0,375.0,,63.692,1,adp_yahoo
51,nfl:gsis:00-0039910,22902,Jayden Daniels,QB,WAS,11.7,12.5,7.2,16.2,historical_forward_error_p80:QB,1.0,very_likely,10,46.0,53.0,346.325,25,
52,nfl:gsis:00-0036893,19302,Najee Harris,RB,NYG,11.7,12.5,6.0,17.4,historical_forward_error_p80:RB,0.0,unlikely,0,374.0,,51.293,1,adp_yahoo
53,nfl:gsis:00-0036275,19210,D'Andre Swift,RB,CHI,11.6,12.4,6.0,17.3,historical_forward_error_p80:RB,1.0,very_likely,8,58.0,47.0,188.269,7,
54,nfl:gsis:00-0036442,19196,Joe Burrow,QB,CIN,11.4,12.2,6.9,15.9,historical_forward_error_p80:QB,0.9731,very_likely,5,53.0,48.0,344.229,27,
55,nfl:gsis:00-0036613,19790,Jaylen Waddle,WR,DEN,11.2,12.0,5.0,17.5,historical_forward_error_p80:WR,1.0,very_likely,12,52.0,41.0,136.037,2,
56,nfl:gsis:00-0036389,19275,Jalen Hurts,QB,PHI,10.9,11.6,6.4,15.4,historical_forward_error_p80:QB,1.0,very_likely,9,48.0,56.0,344.583,29,
57,nfl:gsis:00-0035685,18239,David Montgomery,RB,HOU,10.2,10.8,4.5,15.8,historical_forward_error_p80:RB,1.0,very_likely,9,61.0,50.0,165.465,5,
58,nfl:gsis:00-0035659,18466,Terry McLaurin,WR,WAS,9.9,10.5,3.7,16.1,historical_forward_error_p80:WR,1.0,very_likely,17,54.0,54.0,140.912,10,
59,nfl:gsis:00-0040719,27297,Bhayshul Tuten,RB,JAX,9.7,10.4,4.1,15.4,historical_forward_error_p80:RB,1.0,very_likely,9,62.0,60.0,178.047,,prior_jugg_salary
60,nfl:gsis:00-0041512,27329,Jadarian Price,RB,SEA,8.1,8.6,2.4,13.7,historical_forward_error_p80:RB,1.0,very_likely,8,68.0,64.0,163.609,,prior_jugg_salary
61,nfl:gsis:00-0039919,25411,Rome Odunze,WR,CHI,7.9,8.4,1.7,14.1,historical_forward_error_p80:WR,0.9469,very_likely,17,57.0,67.0,142.707,2,
62,nfl:gsis:00-0040734,23065,TreVeyon Henderson,RB,NE,7.9,8.4,2.2,13.5,historical_forward_error_p80:RB,1.0,very_likely,8,67.0,59.0,156.609,14,
63,nfl:gsis:00-0038996,25298,Tucker Kraft,TE,GB,7.5,8.0,2.9,12.1,historical_forward_error_p80:TE,0.7174,likely,2,80.0,58.0,116.94,1,
64,nfl:gsis:00-0037240,23677,Jameson Williams,WR,DET,7.5,7.9,1.2,13.7,historical_forward_error_p80:WR,0.993,very_likely,14,60.0,63.0,152.828,9,
65,nfl:gsis:00-0040735,27016,Luther Burden III,WR,CHI,7.4,7.9,1.2,13.7,historical_forward_error_p80:WR,0.9433,very_likely,11,65.0,57.0,135.363,,prior_jugg_salary
66,nfl:gsis:00-0039065,22978,Sam LaPorta,TE,DET,7.2,7.6,2.6,11.8,historical_forward_error_p80:TE,0.9702,very_likely,6,59.0,61.0,111.072,8,
67,nfl:gsis:00-0034827,17265,DJ Moore,WR,BUF,7.0,7.5,1.0,13.2,historical_forward_error_p80:WR,1.0,very_likely,11,55.0,62.0,139.03,2,
68,nfl:gsis:00-0040663,27050,Harold Fannin Jr.,TE,CLE,6.6,7.0,2.0,11.2,historical_forward_error_p80:TE,0.8769,very_likely,6,63.0,70.0,112.505,,prior_jugg_salary
69,nfl:gsis:00-0036970,20164,Kyle Pitts Sr.,TE,ATL,6.4,6.8,1.8,11.0,historical_forward_error_p80:TE,0.9615,very_likely,6,56.0,71.0,116.185,3,
70,nfl:gsis:00-0039918,23084,Caleb Williams,QB,CHI,6.3,6.7,1.8,10.8,historical_forward_error_p80:QB,0.7222,likely,3,79.0,68.0,328.841,,prior_jugg_salary
71,nfl:gsis:00-0037228,24209,Jaylen Warren,RB,PIT,5.8,6.1,1.0,11.4,historical_forward_error_p80:RB,0.8096,very_likely,2,90.0,73.0,154.867,1,
72,nfl:gsis:00-0040691,23160,Jaxson Dart,QB,NYG,5.6,5.9,1.1,10.1,historical_forward_error_p80:QB,0.819,very_likely,5,64.0,84.0,332.163,,prior_jugg_salary
73,nfl:gsis:00-0033077,15600,Dak Prescott,QB,DAL,5.5,5.8,1.0,10.0,historical_forward_error_p80:QB,0.8098,very_likely,4,72.0,72.0,337.099,5,
74,nfl:gsis:00-0037692,26068,Brandon Aubrey,K,DAL,5.3,5.6,3.0,7.6,historical_forward_error_p80:K,1.0,very_likely,1,71.0,82.0,153.03,5,
75,nfl:gsis:00-0036875,22726,Rhamondre Stevenson,RB,NE,5.0,5.3,1.0,10.6,historical_forward_error_p80:RB,0.9499,very_likely,7,77.0,76.0,152.322,1,
76,nfl:gsis:00-0035261,18705,Tony Pollard,RB,TEN,4.6,4.9,1.0,10.3,historical_forward_error_p80:RB,0.797,likely,2,96.0,81.0,155.888,4,
77,nfl:gsis:00-0035358,19058,Chase McLaughlin,K,TB,4.6,4.8,2.3,6.9,historical_forward_error_p80:K,0.1814,unlikely,0,215.0,219.0,132.85,,prior_jugg_salary
78,nfl:gsis:00-0037252,23153,Greg Dulcich,TE,MIA,4.4,4.7,1.0,9.1,historical_forward_error_p80:TE,0.0,unlikely,0,,198.0,78.94,,adp_espn;prior_jugg_salary
79,nfl:gsis:00-0031408,12119,Mike Evans,WR,SF,4.4,4.6,1.0,10.6,historical_forward_error_p80:WR,0.893,very_likely,6,82.0,65.0,136.414,30,
80,nfl:gsis:00-0036355,18635,Justin Herbert,QB,LAC,4.3,4.5,1.0,8.8,historical_forward_error_p80:QB,0.6643,likely,3,99.0,69.0,325.801,15,
81,nfl:gsis:00-0036971,19780,Trevor Lawrence,QB,JAX,4.2,4.4,1.0,8.7,historical_forward_error_p80:QB,0.7093,likely,4,81.0,80.0,333.204,1,
82,nfl:gsis:00-0033288,16499,George Kittle,TE,SF,4.1,4.3,1.0,8.7,historical_forward_error_p80:TE,0.6851,likely,2,88.0,86.0,109.381,22,
83,nfl:gsis:00-0031203,13731,Cairo Santos,K,CHI,4.1,4.3,1.8,6.4,historical_forward_error_p80:K,0.2236,long_shot,0,187.0,224.0,133.31,,prior_jugg_salary
84,nfl:gsis:00-0036555,19792,Chuba Hubbard,RB,CAR,4.0,4.3,1.0,9.7,historical_forward_error_p80:RB,0.7433,likely,2,112.0,77.0,137.084,19,
85,nfl:gsis:00-0041438,26009,Carnell Tate,WR,TEN,3.9,4.1,1.0,10.2,historical_forward_error_p80:WR,0.9519,very_likely,7,66.0,75.0,113.203,,prior_jugg_salary
86,nfl:gsis:00-0039811,23118,MarShawn Lloyd,RB,GB,3.7,3.9,1.0,9.4,historical_forward_error_p80:RB,0.0393,unlikely,0,,200.0,45.485,,adp_espn;prior_jugg_salary
87,nfl:gsis:00-0041496,27320,Jonah Coleman,RB,DEN,3.7,3.9,1.0,9.4,historical_forward_error_p80:RB,0.0595,unlikely,1,230.0,184.0,39.222,,prior_jugg_salary
88,nfl:gsis:00-0038454,25360,Keaton Mitchell,RB,LAC,3.7,3.9,1.0,9.3,historical_forward_error_p80:RB,0.0709,unlikely,1,206.0,199.0,68.866,,prior_jugg_salary
89,nfl:def:HOU,8120,Houston Texans,DEF,HOU,3.6,3.8,1.9,5.4,historical_forward_error_p80:DEF,1.0,very_likely,1,73.0,90.0,124.43,10,
90,nfl:gsis:00-0039404,26341,Will Reichard,K,MIN,3.6,3.8,1.3,5.9,historical_forward_error_p80:K,0.2596,long_shot,0,178.0,220.0,130.72,,prior_jugg_salary
91,nfl:gsis:00-0038129,23181,Cade Otton,TE,TB,3.6,3.8,1.0,8.2,historical_forward_error_p80:TE,0.0,unlikely,0,,,74.055,,adp_espn;adp_yahoo;prior_jugg_salary
92,nfl:gsis:00-0034173,17575,Eddy Pineiro,K,SF,3.5,3.7,1.2,5.9,historical_forward_error_p80:K,0.3308,long_shot,1,146.0,222.0,132.62,,prior_jugg_salary
93,nfl:gsis:00-0030506,11594,Travis Kelce,TE,KC,3.5,3.7,1.0,8.1,historical_forward_error_p80:TE,0.6811,likely,2,85.0,91.0,107.06,4,
94,nfl:gsis:00-0026498,9451,Matthew Stafford,QB,LAR,3.5,3.7,1.0,8.0,historical_forward_error_p80:QB,0.7511,likely,4,69.0,100.0,327.994,1,
95,nfl:gsis:00-0036139,19647,Rico Dowdle,RB,PIT,3.5,3.7,1.0,9.2,historical_forward_error_p80:RB,0.7795,likely,3,98.0,85.0,148.47,1,
96,nfl:gsis:00-0036854,23297,Evan McPherson,K,CIN,3.5,3.7,1.2,5.8,historical_forward_error_p80:K,0.2042,long_shot,0,202.0,221.0,128.72,1,
97,nfl:gsis:00-0037809,23982,Chig Okonkwo,TE,WAS,3.5,3.6,1.0,8.1,historical_forward_error_p80:TE,0.0614,unlikely,0,225.0,149.0,73.401,,prior_jugg_salary
98,nfl:gsis:00-0034829,17272,Mike Gesicki,TE,CIN,3.4,3.6,1.0,8.0,historical_forward_error_p80:TE,0.0,unlikely,0,,,64.669,,adp_espn;adp_yahoo;prior_jugg_salary
99,nfl:gsis:00-0040074,27534,Tyler Loop,K,BAL,3.4,3.6,1.1,5.7,historical_forward_error_p80:K,0.2803,long_shot,1,169.0,218.0,132.06,,prior_jugg_salary
100,nfl:gsis:00-0040584,27109,Gunnar Helm,TE,TEN,3.4,3.6,1.0,8.0,historical_forward_error_p80:TE,0.0,unlikely,0,,,62.668,,adp_espn;adp_yahoo;prior_jugg_salary
101,nfl:gsis:00-0036158,19245,J.K. Dobbins,RB,DEN,3.4,3.6,1.0,9.1,historical_forward_error_p80:RB,0.7284,likely,2,108.0,92.0,156.647,10,
102,nfl:gsis:00-0036244,19372,Colby Parkinson,TE,LAR,3.4,3.5,1.0,8.0,historical_forward_error_p80:TE,0.0,unlikely,0,,,57.858,,adp_espn;adp_yahoo;prior_jugg_salary
103,nfl:gsis:00-0038124,23886,Christian Watson,WR,GB,3.3,3.5,1.0,9.6,historical_forward_error_p80:WR,0.8508,very_likely,6,86.0,66.0,137.579,3,
104,nfl:gsis:00-0040583,27520,Woody Marks,RB,HOU,3.3,3.5,1.0,9.0,historical_forward_error_p80:RB,0.2113,long_shot,1,148.0,197.0,100.575,,prior_jugg_salary
105,nfl:gsis:00-0040200,27291,Andy Borregales,K,NE,3.3,3.5,1.0,5.6,historical_forward_error_p80:K,0.7434,likely,,,223.0,119.37,,espn_salary_cap_value;adp_espn;prior_jugg_salary
106,nfl:gsis:00-0039794,24346,Braelon Allen,RB,NYJ,3.3,3.5,1.0,9.0,historical_forward_error_p80:RB,0.0458,unlikely,0,,,82.68,,adp_espn;adp_yahoo;prior_jugg_salary
107,nfl:gsis:00-0039066,23056,Michael Mayer,TE,LV,3.3,3.5,1.0,7.9,historical_forward_error_p80:TE,0.0,unlikely,0,,,50.138,,adp_espn;adp_yahoo;prior_jugg_salary
108,nfl:gsis:00-0034975,18256,Justice Hill,RB,BAL,3.2,3.4,1.0,8.9,historical_forward_error_p80:RB,0.0456,unlikely,0,,,79.414,,adp_espn;adp_yahoo;prior_jugg_salary
109,nfl:gsis:00-0038611,22986,Chris Rodriguez Jr.,RB,JAX,3.2,3.4,1.0,8.9,historical_forward_error_p80:RB,0.1408,unlikely,1,180.0,194.0,90.219,,prior_jugg_salary
110,nfl:gsis:00-0041052,28401,Kaelon Black,RB,SF,3.2,3.4,1.0,8.9,historical_forward_error_p80:RB,0.0454,unlikely,0,,,78.065,,adp_espn;adp_yahoo;prior_jugg_salary
111,nfl:gsis:00-0039849,23064,Marvin Harrison Jr.,WR,ARI,3.1,3.3,1.0,9.3,historical_forward_error_p80:WR,0.9311,very_likely,7,76.0,74.0,129.995,19,
112,nfl:gsis:00-0035537,18406,Ty Johnson,RB,BUF,3.1,3.2,1.0,8.8,historical_forward_error_p80:RB,0.0443,unlikely,0,,,69.659,,adp_espn;adp_yahoo;prior_jugg_salary
113,nfl:gsis:00-0041104,28084,Demond Claiborne,RB,MIN,3.1,3.2,1.0,8.7,historical_forward_error_p80:RB,0.0117,unlikely,0,,,12.193,,adp_espn;adp_yahoo;prior_jugg_salary
114,nfl:gsis:00-0039498,26638,Harrison Mevis,K,LAR,3.1,3.2,1.0,5.4,historical_forward_error_p80:K,0.4915,bubble,1,120.0,203.0,136.89,,prior_jugg_salary
115,nfl:gsis:00-0038705,25654,Emari Demercado,RB,KC,3.0,3.2,1.0,8.7,historical_forward_error_p80:RB,0.0436,unlikely,0,,,66.35,,adp_espn;adp_yahoo;prior_jugg_salary
116,nfl:gsis:00-0040886,24343,Nicholas Singleton,RB,TEN,3.0,3.2,1.0,8.7,historical_forward_error_p80:RB,0.0151,unlikely,0,,,15.448,,adp_espn;adp_yahoo;prior_jugg_salary
117,nfl:gsis:00-0040878,28108,Mike Washington Jr.,RB,LV,3.0,3.1,1.0,8.7,historical_forward_error_p80:RB,0.1518,unlikely,0,220.0,163.0,67.87,,prior_jugg_salary
118,nfl:gsis:00-0034351,17270,Dallas Goedert,TE,PHI,3.0,3.1,1.0,7.6,historical_forward_error_p80:TE,0.6066,likely,2,87.0,106.0,113.851,1,
119,nfl:gsis:00-0039746,22930,Will Shipley,RB,PHI,3.0,3.1,1.0,8.7,historical_forward_error_p80:RB,0.0159,unlikely,0,,,16.283,,adp_espn;adp_yahoo;prior_jugg_salary
120,nfl:gsis:00-0040177,27310,Jordan James,RB,SF,3.0,3.1,1.0,8.7,historical_forward_error_p80:RB,0.0426,unlikely,0,,,61.913,,adp_espn;adp_yahoo;prior_jugg_salary
121,nfl:gsis:00-0040208,26212,Tahj Brooks,RB,CIN,3.0,3.1,1.0,8.6,historical_forward_error_p80:RB,0.0178,unlikely,0,,,18.242,,adp_espn;adp_yahoo;prior_jugg_salary
122,nfl:gsis:00-0041096,24362,Kaytron Allen,RB,WAS,3.0,3.1,1.0,8.6,historical_forward_error_p80:RB,0.0181,unlikely,0,,,18.497,,adp_espn;adp_yahoo;prior_jugg_salary
123,nfl:gsis:00-0040189,25997,Oronde Gadsden II,TE,LAC,2.9,3.1,1.0,7.5,historical_forward_error_p80:TE,0.0597,unlikely,0,,151.0,63.29,,adp_espn;prior_jugg_salary
124,nfl:gsis:00-0040888,24367,Adam Randall,RB,BAL,2.9,3.1,1.0,8.6,historical_forward_error_p80:RB,0.041,unlikely,0,,,56.227,,adp_espn;adp_yahoo;prior_jugg_salary
125,nfl:gsis:00-0038935,25345,Brenton Strange,TE,JAX,2.9,3.1,1.0,7.5,historical_forward_error_p80:TE,0.087,unlikely,1,185.0,167.0,91.704,,prior_jugg_salary
126,nfl:gsis:00-0038685,25823,Chris Brooks,RB,GB,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0387,unlikely,0,,,49.821,,adp_espn;adp_yahoo;prior_jugg_salary
127,nfl:gsis:00-0039793,26335,AJ Barner,TE,SEA,2.9,3.0,1.0,7.5,historical_forward_error_p80:TE,0.0987,unlikely,0,207.0,147.0,75.809,,prior_jugg_salary
128,nfl:gsis:00-0040021,22928,Phil Mafah,RB,DAL,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0253,unlikely,0,,,26.717,,adp_espn;adp_yahoo;prior_jugg_salary
129,nfl:gsis:00-0040179,27097,DJ Giddens,RB,IND,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0258,unlikely,0,,,27.397,,adp_espn;adp_yahoo;prior_jugg_salary
130,nfl:gsis:00-0040238,27285,LeQuint Allen Jr.,RB,JAX,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0267,unlikely,0,,,28.553,,adp_espn;adp_yahoo;prior_jugg_salary
131,nfl:gsis:00-0039391,26355,Kimani Vidal,RB,LAC,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0376,unlikely,0,,,47.15,,adp_espn;adp_yahoo;prior_jugg_salary
132,nfl:gsis:00-0041013,28107,Emmett Johnson,RB,KC,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0274,unlikely,0,,,29.493,,adp_espn;adp_yahoo;prior_jugg_salary
133,nfl:gsis:00-0039875,26191,Ray Davis,RB,BUF,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.019,unlikely,1,,,28.108,,adp_espn;adp_yahoo;prior_jugg_salary
134,nfl:gsis:00-0038951,23679,Sean Tucker,RB,TB,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0282,unlikely,0,,,30.641,,adp_espn;adp_yahoo;prior_jugg_salary
135,nfl:gsis:00-0040198,25984,Ollie Gordon II,RB,MIA,2.9,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0284,unlikely,0,,,30.881,,adp_espn;adp_yahoo;prior_jugg_salary
136,nfl:gsis:00-0038797,25885,Emanuel Wilson,RB,SEA,2.8,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0359,unlikely,0,,,43.641,,adp_espn;adp_yahoo;prior_jugg_salary
137,nfl:gsis:00-0039874,25987,Jaylen Wright,RB,MIA,2.8,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0359,unlikely,0,,,43.558,,adp_espn;adp_yahoo;prior_jugg_salary
138,nfl:gsis:00-0039299,22915,George Holani,RB,SEA,2.8,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0299,unlikely,0,,,33.116,,adp_espn;adp_yahoo;prior_jugg_salary
139,nfl:gsis:00-0039798,25977,Isaiah Davis,RB,NYJ,2.8,3.0,1.0,8.5,historical_forward_error_p80:RB,0.0301,unlikely,0,,,33.442,,adp_espn;adp_yahoo;prior_jugg_salary
140,nfl:gsis:00-0039732,22910,Bo Nix,QB,DEN,2.8,2.9,1.0,7.3,historical_forward_error_p80:QB,0.7635,likely,4,75.0,99.0,324.987,8,
141,nfl:gsis:00-0036894,20163,Pat Freiermuth,TE,PIT,2.8,2.9,1.0,7.4,historical_forward_error_p80:TE,0.1294,unlikely,0,201.0,139.0,81.141,,prior_jugg_salary
142,nfl:def:GB,8110,Green Bay Packers,DEF,GB,2.7,2.9,1.0,4.4,historical_forward_error_p80:DEF,0.156,unlikely,0,193.0,215.0,99.06,,prior_jugg_salary
