jugg_price_rank,internal_player_id,fantasypros_id,player_name,position,nfl_team,expected_jugg_price_if_drafted,uncalibrated_model_price,price_range_low,price_range_high,range_basis,draft_probability,draft_likelihood,espn_salary_cap_value,adp_espn,adp_yahoo,projected_points_jugg,prior_jugg_salary,missing_inputs
31,nfl:gsis:00-0039067,23113,Rashee Rice,WR,KC,26.8,26.5,19.7,33.9,historical_forward_error_p80:WR,0.995,very_likely,32,21.0,34.0,171.399,1,
32,nfl:gsis:00-0036997,22739,Javonte Williams,RB,DAL,25.6,25.3,19.5,31.7,historical_forward_error_p80:RB,0.995,very_likely,25,31.0,33.0,201.262,3,
33,nfl:gsis:00-0037239,20111,Chris Olave,WR,NO,25.2,24.9,18.1,32.3,historical_forward_error_p80:WR,0.995,very_likely,28,28.0,30.0,166.209,2,
34,nfl:gsis:00-0036912,19222,DeVonta Smith,WR,PHI,20.7,20.4,13.5,27.8,historical_forward_error_p80:WR,0.995,very_likely,18,35.0,28.0,149.034,6,
35,nfl:gsis:00-0036973,19231,Travis Etienne Jr.,RB,NO,20.6,20.3,14.5,26.6,historical_forward_error_p80:RB,0.995,very_likely,22,39.0,42.0,191.33,1,
36,nfl:gsis:00-0040715,27166,Cam Skattebo,RB,NYG,19.9,19.7,13.9,26.0,historical_forward_error_p80:RB,0.995,very_likely,20,40.0,41.0,190.548,1,
37,nfl:gsis:00-0039064,22916,Zay Flowers,WR,BAL,19.2,19.0,12.1,26.4,historical_forward_error_p80:WR,0.995,very_likely,22,38.0,36.0,160.508,6,
38,nfl:gsis:00-0034796,17233,Lamar Jackson,QB,BAL,19.1,18.9,14.3,23.9,historical_forward_error_p80:QB,0.995,very_likely,10,34.0,37.0,353.315,38,
39,nfl:gsis:00-0040124,25417,Tetairoa McMillan,WR,CAR,18.4,18.2,11.2,25.5,historical_forward_error_p80:WR,0.995,very_likely,23,37.0,40.0,152.566,3,
40,nfl:gsis:00-0036410,19211,Tee Higgins,WR,CIN,17.6,17.4,10.5,24.7,historical_forward_error_p80:WR,0.995,very_likely,15,51.0,31.0,150.935,36,
41,nfl:gsis:00-0040126,26006,Colston Loveland,TE,CHI,17.5,17.3,12.7,22.2,historical_forward_error_p80:TE,0.995,very_likely,13,41.0,38.0,132.293,,prior_jugg_salary
42,nfl:gsis:00-0040129,23062,Emeka Egbuka,WR,TB,17.3,17.1,10.1,24.4,historical_forward_error_p80:WR,0.947,very_likely,24,44.0,43.0,155.046,1,
43,nfl:gsis:00-0040784,25391,Quinshon Judkins,RB,CLE,16.5,16.3,10.4,22.6,historical_forward_error_p80:RB,0.995,very_likely,21,49.0,51.0,183.591,2,
44,nfl:gsis:00-0039361,25981,Bucky Irving,RB,TB,15.8,15.6,9.7,21.9,historical_forward_error_p80:RB,0.995,very_likely,19,50.0,55.0,179.969,35,
45,nfl:gsis:00-0037740,23072,Garrett Wilson,WR,NYJ,15.8,15.6,8.7,22.9,historical_forward_error_p80:WR,0.995,very_likely,19,32.0,48.0,146.412,11,
46,nfl:gsis:00-0031381,12123,Davante Adams,WR,LAR,15.7,15.5,8.5,22.8,historical_forward_error_p80:WR,0.9841,very_likely,26,42.0,54.0,153.435,6,
47,nfl:gsis:00-0037563,24205,Malik Davis,RB,DAL,14.9,14.7,8.8,21.0,historical_forward_error_p80:RB,0.005,unlikely,0,396.0,,54.066,,adp_yahoo;prior_jugg_salary
48,nfl:gsis:00-0039851,23046,Drake Maye,QB,NE,14.1,13.9,9.3,18.8,historical_forward_error_p80:QB,0.9918,very_likely,10,43.0,47.0,348.051,1,
49,nfl:gsis:00-0039915,26122,Ladd McConkey,WR,LAC,14.0,13.8,6.8,21.1,historical_forward_error_p80:WR,0.995,very_likely,15,45.0,44.0,141.052,27,
50,nfl:gsis:00-0040128,26434,Tyler Warren,TE,IND,13.7,13.6,9.0,18.5,historical_forward_error_p80:TE,0.9803,very_likely,13,46.0,46.0,120.226,1,
51,nfl:gsis:00-0036275,19210,D'Andre Swift,RB,CHI,13.6,13.4,7.5,19.7,historical_forward_error_p80:RB,0.995,very_likely,9,55.0,45.0,188.369,7,
52,nfl:gsis:00-0039910,22902,Jayden Daniels,QB,WAS,12.7,12.6,8.0,17.5,historical_forward_error_p80:QB,0.995,very_likely,10,47.0,53.0,346.311,25,
53,nfl:gsis:00-0036613,19790,Jaylen Waddle,WR,DEN,12.7,12.5,5.5,19.8,historical_forward_error_p80:WR,0.995,very_likely,12,52.0,39.0,136.004,2,
54,nfl:gsis:00-0036442,19196,Joe Burrow,QB,CIN,12.3,12.2,7.6,17.1,historical_forward_error_p80:QB,0.9686,very_likely,5,53.0,49.0,344.213,27,
55,nfl:gsis:00-0036389,19275,Jalen Hurts,QB,PHI,12.0,11.8,7.2,16.7,historical_forward_error_p80:QB,0.995,very_likely,9,48.0,56.0,344.608,29,
56,nfl:gsis:00-0035659,18466,Terry McLaurin,WR,WAS,11.1,11.0,4.0,18.3,historical_forward_error_p80:WR,0.995,very_likely,17,54.0,52.0,140.845,10,
57,nfl:gsis:00-0035685,18239,David Montgomery,RB,HOU,11.0,10.9,4.9,17.1,historical_forward_error_p80:RB,0.995,very_likely,8,60.0,50.0,165.083,5,
58,nfl:gsis:00-0040719,27297,Bhayshul Tuten,RB,JAX,10.7,10.6,4.6,16.8,historical_forward_error_p80:RB,0.995,very_likely,9,61.0,60.0,178.047,,prior_jugg_salary
59,nfl:gsis:00-0041512,27329,Jadarian Price,RB,SEA,9.4,9.3,3.3,15.5,historical_forward_error_p80:RB,0.995,very_likely,8,63.0,63.0,163.608,,prior_jugg_salary
60,nfl:gsis:00-0040734,23065,TreVeyon Henderson,RB,NE,9.4,9.3,3.3,15.4,historical_forward_error_p80:RB,0.995,very_likely,2,68.0,62.0,156.182,14,
61,nfl:gsis:00-0039919,25411,Rome Odunze,WR,CHI,8.8,8.7,1.7,15.9,historical_forward_error_p80:WR,0.9458,very_likely,17,57.0,65.0,142.707,2,
62,nfl:gsis:00-0038996,25298,Tucker Kraft,TE,GB,8.4,8.3,3.6,13.1,historical_forward_error_p80:TE,0.7347,likely,2,77.0,58.0,115.639,1,
63,nfl:gsis:00-0037240,23677,Jameson Williams,WR,DET,8.1,8.0,1.0,15.2,historical_forward_error_p80:WR,0.995,very_likely,14,59.0,64.0,152.861,9,
64,nfl:gsis:00-0040735,27016,Luther Burden III,WR,CHI,8.1,8.0,1.0,15.2,historical_forward_error_p80:WR,0.9396,very_likely,11,65.0,57.0,135.33,,prior_jugg_salary
65,nfl:gsis:00-0034827,17265,DJ Moore,WR,BUF,7.9,7.8,1.0,15.0,historical_forward_error_p80:WR,0.995,very_likely,11,56.0,59.0,139.029,2,
66,nfl:gsis:00-0039065,22978,Sam LaPorta,TE,DET,7.5,7.5,2.8,12.3,historical_forward_error_p80:TE,0.9421,very_likely,6,62.0,61.0,113.705,8,
67,nfl:gsis:00-0040663,27050,Harold Fannin Jr.,TE,CLE,7.2,7.1,2.4,11.9,historical_forward_error_p80:TE,0.8641,very_likely,6,64.0,70.0,116.234,,prior_jugg_salary
68,nfl:gsis:00-0039918,23084,Caleb Williams,QB,CHI,6.7,6.6,2.0,11.5,historical_forward_error_p80:QB,0.7028,likely,3,82.0,68.0,328.821,,prior_jugg_salary
69,nfl:gsis:00-0036970,20164,Kyle Pitts Sr.,TE,ATL,6.6,6.5,1.8,11.3,historical_forward_error_p80:TE,0.9419,very_likely,6,58.0,71.0,110.578,3,
70,nfl:gsis:00-0037228,24209,Jaylen Warren,RB,PIT,6.4,6.4,1.0,12.5,historical_forward_error_p80:RB,0.833,very_likely,2,86.0,73.0,150.972,1,
71,nfl:gsis:00-0036875,22726,Rhamondre Stevenson,RB,NE,6.2,6.1,1.0,12.2,historical_forward_error_p80:RB,0.9868,very_likely,8,71.0,75.0,153.299,1,
72,nfl:gsis:00-0033077,15600,Dak Prescott,QB,DAL,6.0,5.9,1.2,10.8,historical_forward_error_p80:QB,0.8078,very_likely,4,72.0,72.0,337.131,5,
73,nfl:gsis:00-0033288,16499,George Kittle,TE,SF,5.8,5.7,1.0,10.5,historical_forward_error_p80:TE,0.7409,likely,2,79.0,81.0,115.657,22,
74,nfl:gsis:00-0040691,23160,Jaxson Dart,QB,NYG,5.7,5.6,1.0,10.4,historical_forward_error_p80:QB,0.7956,likely,5,66.0,87.0,332.041,,prior_jugg_salary
75,nfl:gsis:00-0037692,26068,Brandon Aubrey,K,DAL,5.5,5.5,3.0,8.0,historical_forward_error_p80:K,0.995,very_likely,1,75.0,82.0,153.03,5,
76,nfl:gsis:00-0035261,18705,Tony Pollard,RB,TEN,5.2,5.2,1.0,11.3,historical_forward_error_p80:RB,0.8071,very_likely,2,94.0,80.0,155.887,4,
77,nfl:gsis:00-0036355,18635,Justin Herbert,QB,LAC,5.0,4.9,1.0,9.7,historical_forward_error_p80:QB,0.6805,likely,3,96.0,69.0,325.803,15,
78,nfl:gsis:00-0035358,19058,Chase McLaughlin,K,TB,4.9,4.9,2.4,7.5,historical_forward_error_p80:K,0.1637,unlikely,0,,221.0,132.85,,adp_espn;prior_jugg_salary
79,nfl:gsis:00-0037252,23153,Greg Dulcich,TE,MIA,4.9,4.8,1.0,9.6,historical_forward_error_p80:TE,0.005,unlikely,0,,202.0,78.939,,adp_espn;prior_jugg_salary
80,nfl:gsis:00-0031203,13731,Cairo Santos,K,CHI,4.8,4.7,2.3,7.3,historical_forward_error_p80:K,0.2001,long_shot,0,195.0,226.0,133.31,,prior_jugg_salary
81,nfl:gsis:00-0031408,12119,Mike Evans,WR,SF,4.7,4.7,1.0,11.9,historical_forward_error_p80:WR,0.892,very_likely,5,81.0,66.0,135.784,30,
82,nfl:gsis:00-0036971,19780,Trevor Lawrence,QB,JAX,4.5,4.4,1.0,9.2,historical_forward_error_p80:QB,0.694,likely,4,84.0,79.0,333.212,1,
83,nfl:gsis:00-0037809,23982,Chig Okonkwo,TE,WAS,4.3,4.2,1.0,9.0,historical_forward_error_p80:TE,0.0254,unlikely,0,238.0,155.0,73.367,,prior_jugg_salary
84,nfl:gsis:00-0039404,26341,Will Reichard,K,MIN,4.2,4.2,1.7,6.8,historical_forward_error_p80:K,0.2429,long_shot,0,181.0,223.0,130.72,,prior_jugg_salary
85,nfl:gsis:00-0041438,26009,Carnell Tate,WR,TEN,4.0,4.0,1.0,11.2,historical_forward_error_p80:WR,0.9377,very_likely,7,67.0,76.0,113.235,,prior_jugg_salary
86,nfl:gsis:00-0036555,19792,Chuba Hubbard,RB,CAR,4.0,4.0,1.0,10.1,historical_forward_error_p80:RB,0.7412,likely,2,110.0,84.0,137.183,19,
87,nfl:gsis:00-0034173,17575,Eddy Pineiro,K,SF,4.0,4.0,1.5,6.6,historical_forward_error_p80:K,0.3278,long_shot,1,145.0,224.0,132.62,,prior_jugg_salary
88,nfl:gsis:00-0036854,23297,Evan McPherson,K,CIN,4.0,4.0,1.5,6.5,historical_forward_error_p80:K,0.1953,unlikely,0,206.0,222.0,128.72,1,
89,nfl:gsis:00-0041052,28401,Kaelon Black,RB,SF,4.0,4.0,1.0,10.1,historical_forward_error_p80:RB,0.0709,unlikely,0,,192.0,78.104,,adp_espn;prior_jugg_salary
90,nfl:gsis:00-0040074,27534,Tyler Loop,K,BAL,3.9,3.8,1.3,6.4,historical_forward_error_p80:K,0.2726,long_shot,1,170.0,220.0,132.06,,prior_jugg_salary
91,nfl:gsis:00-0036158,19245,J.K. Dobbins,RB,DEN,3.8,3.7,1.0,9.8,historical_forward_error_p80:RB,0.73,likely,2,107.0,93.0,156.646,10,
92,nfl:gsis:00-0038454,25360,Keaton Mitchell,RB,LAC,3.8,3.7,1.0,9.9,historical_forward_error_p80:RB,0.0923,unlikely,0,197.0,200.0,68.866,,prior_jugg_salary
93,nfl:gsis:00-0039849,23064,Marvin Harrison Jr.,WR,ARI,3.8,3.7,1.0,10.9,historical_forward_error_p80:WR,0.9483,very_likely,7,73.0,74.0,131.595,19,
94,nfl:gsis:00-0026498,9451,Matthew Stafford,QB,LAR,3.8,3.8,1.0,8.6,historical_forward_error_p80:QB,0.7451,likely,4,70.0,99.0,327.976,1,
95,nfl:gsis:00-0038129,23181,Cade Otton,TE,TB,3.7,3.7,1.0,8.5,historical_forward_error_p80:TE,0.005,unlikely,0,,,74.021,,adp_espn;adp_yahoo;prior_jugg_salary
96,nfl:def:HOU,8120,Houston Texans,DEF,HOU,3.7,3.7,1.9,5.5,historical_forward_error_p80:DEF,0.995,very_likely,1,78.0,88.0,124.0,10,
97,nfl:gsis:00-0036139,19647,Rico Dowdle,RB,PIT,3.7,3.6,1.0,9.7,historical_forward_error_p80:RB,0.8526,very_likely,7,90.0,85.0,148.503,1,
98,nfl:gsis:00-0030506,11594,Travis Kelce,TE,KC,3.7,3.7,1.0,8.5,historical_forward_error_p80:TE,0.67,likely,2,87.0,90.0,107.21,4,
99,nfl:gsis:00-0040200,27291,Andy Borregales,K,NE,3.6,3.6,1.1,6.2,historical_forward_error_p80:K,0.7382,likely,,,225.0,119.37,,espn_salary_cap_value;adp_espn;prior_jugg_salary
100,nfl:gsis:00-0038611,22986,Chris Rodriguez Jr.,RB,JAX,3.6,3.6,1.0,9.7,historical_forward_error_p80:RB,0.1441,unlikely,1,172.0,199.0,90.219,,prior_jugg_salary
101,nfl:gsis:00-0040584,27109,Gunnar Helm,TE,TEN,3.6,3.5,1.0,8.3,historical_forward_error_p80:TE,0.005,unlikely,0,,,62.667,,adp_espn;adp_yahoo;prior_jugg_salary
102,nfl:gsis:00-0034829,17272,Mike Gesicki,TE,CIN,3.6,3.5,1.0,8.3,historical_forward_error_p80:TE,0.005,unlikely,0,,,64.668,,adp_espn;adp_yahoo;prior_jugg_salary
103,nfl:gsis:00-0039794,24346,Braelon Allen,RB,NYJ,3.5,3.5,1.0,9.6,historical_forward_error_p80:RB,0.0454,unlikely,0,,,82.664,,adp_espn;adp_yahoo;prior_jugg_salary
104,nfl:gsis:00-0036244,19372,Colby Parkinson,TE,LAR,3.5,3.4,1.0,8.2,historical_forward_error_p80:TE,0.005,unlikely,0,,,57.191,,adp_espn;adp_yahoo;prior_jugg_salary
105,nfl:gsis:00-0040583,27520,Woody Marks,RB,HOU,3.5,3.5,1.0,9.6,historical_forward_error_p80:RB,0.2227,long_shot,1,146.0,195.0,100.263,,prior_jugg_salary
106,nfl:gsis:00-0038124,23886,Christian Watson,WR,GB,3.4,3.4,1.0,10.5,historical_forward_error_p80:WR,0.8557,very_likely,6,85.0,67.0,136.146,3,
107,nfl:gsis:00-0034975,18256,Justice Hill,RB,BAL,3.4,3.4,1.0,9.5,historical_forward_error_p80:RB,0.0452,unlikely,0,,,79.414,,adp_espn;adp_yahoo;prior_jugg_salary
108,nfl:gsis:00-0039066,23056,Michael Mayer,TE,LV,3.4,3.4,1.0,8.2,historical_forward_error_p80:TE,0.005,unlikely,0,,,49.971,,adp_espn;adp_yahoo;prior_jugg_salary
109,nfl:gsis:00-0038935,25345,Brenton Strange,TE,JAX,3.3,3.2,1.0,8.0,historical_forward_error_p80:TE,0.0819,unlikely,0,183.0,173.0,91.703,,prior_jugg_salary
110,nfl:gsis:00-0039498,26638,Harrison Mevis,K,LAR,3.3,3.3,1.0,5.8,historical_forward_error_p80:K,0.4577,bubble,1,128.0,204.0,136.89,,prior_jugg_salary
111,nfl:gsis:00-0035537,18406,Ty Johnson,RB,BUF,3.3,3.3,1.0,9.4,historical_forward_error_p80:RB,0.0443,unlikely,0,,,71.56,,adp_espn;adp_yahoo;prior_jugg_salary
112,nfl:gsis:00-0039384,22980,Tyrone Tracy Jr.,RB,NYG,3.3,3.2,1.0,9.3,historical_forward_error_p80:RB,0.0677,unlikely,0,,194.0,71.302,1,adp_espn
113,nfl:gsis:00-0039793,26335,AJ Barner,TE,SEA,3.2,3.1,1.0,7.9,historical_forward_error_p80:TE,0.0904,unlikely,0,211.0,147.0,75.809,,prior_jugg_salary
114,nfl:gsis:00-0034351,17270,Dallas Goedert,TE,PHI,3.2,3.2,1.0,8.0,historical_forward_error_p80:TE,0.6002,likely,2,88.0,106.0,113.883,1,
115,nfl:gsis:00-0038705,25654,Emari Demercado,RB,KC,3.2,3.2,1.0,9.3,historical_forward_error_p80:RB,0.0434,unlikely,0,,,66.462,,adp_espn;adp_yahoo;prior_jugg_salary
116,nfl:gsis:00-0040177,27310,Jordan James,RB,SF,3.2,3.1,1.0,9.2,historical_forward_error_p80:RB,0.0423,unlikely,0,,,61.857,,adp_espn;adp_yahoo;prior_jugg_salary
117,nfl:gsis:00-0039811,23118,MarShawn Lloyd,RB,GB,3.2,3.2,1.0,9.3,historical_forward_error_p80:RB,0.1656,unlikely,0,192.0,179.0,89.809,,prior_jugg_salary
118,nfl:gsis:00-0040888,24367,Adam Randall,RB,BAL,3.1,3.1,1.0,9.2,historical_forward_error_p80:RB,0.0407,unlikely,0,,,56.276,,adp_espn;adp_yahoo;prior_jugg_salary
119,nfl:gsis:00-0039732,22910,Bo Nix,QB,DEN,3.1,3.0,1.0,7.8,historical_forward_error_p80:QB,0.7574,likely,4,76.0,98.0,324.973,8,
120,nfl:gsis:00-0041104,28084,Demond Claiborne,RB,MIN,3.1,3.1,1.0,9.2,historical_forward_error_p80:RB,0.0147,unlikely,0,,,16.857,,adp_espn;adp_yahoo;prior_jugg_salary
121,nfl:gsis:00-0039172,26075,Jake Bates,K,DET,3.1,3.0,1.0,5.6,historical_forward_error_p80:K,0.3174,long_shot,1,157.0,218.0,135.87,1,
122,nfl:gsis:00-0041096,24362,Kaytron Allen,RB,WAS,3.1,3.0,1.0,9.1,historical_forward_error_p80:RB,0.0165,unlikely,0,,,18.497,,adp_espn;adp_yahoo;prior_jugg_salary
123,nfl:gsis:00-0040886,24343,Nicholas Singleton,RB,TEN,3.1,3.1,1.0,9.2,historical_forward_error_p80:RB,0.0131,unlikely,0,,,15.448,,adp_espn;adp_yahoo;prior_jugg_salary
124,nfl:gsis:00-0040189,25997,Oronde Gadsden II,TE,LAC,3.1,3.1,1.0,7.8,historical_forward_error_p80:TE,0.0457,unlikely,0,,157.0,63.29,,adp_espn;prior_jugg_salary
125,nfl:gsis:00-0040743,23096,Tyler Shough,QB,NO,3.1,3.1,1.0,7.9,historical_forward_error_p80:QB,0.1109,unlikely,1,151.0,187.0,307.589,,prior_jugg_salary
126,nfl:gsis:00-0032569,16026,Wil Lutz,K,DEN,3.1,3.1,1.0,5.6,historical_forward_error_p80:K,0.834,very_likely,,226.0,213.0,128.51,15,espn_salary_cap_value
127,nfl:gsis:00-0039746,22930,Will Shipley,RB,PHI,3.1,3.1,1.0,9.2,historical_forward_error_p80:RB,0.0141,unlikely,0,,,16.282,,adp_espn;adp_yahoo;prior_jugg_salary
128,nfl:gsis:00-0038685,25823,Chris Brooks,RB,GB,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.028,unlikely,0,,,31.271,,adp_espn;adp_yahoo;prior_jugg_salary
129,nfl:gsis:00-0038797,25885,Emanuel Wilson,RB,SEA,3.0,3.0,1.0,9.1,historical_forward_error_p80:RB,0.0356,unlikely,0,,,43.641,,adp_espn;adp_yahoo;prior_jugg_salary
130,nfl:gsis:00-0039299,22915,George Holani,RB,SEA,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.0293,unlikely,0,,,33.116,,adp_espn;adp_yahoo;prior_jugg_salary
131,nfl:gsis:00-0039798,25977,Isaiah Davis,RB,NYJ,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.0295,unlikely,0,,,33.426,,adp_espn;adp_yahoo;prior_jugg_salary
132,nfl:gsis:00-0039874,25987,Jaylen Wright,RB,MIA,3.0,3.0,1.0,9.1,historical_forward_error_p80:RB,0.0355,unlikely,0,,,43.558,,adp_espn;adp_yahoo;prior_jugg_salary
133,nfl:gsis:00-0041496,27320,Jonah Coleman,RB,DEN,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.1172,unlikely,0,205.0,182.0,39.222,,prior_jugg_salary
134,nfl:gsis:00-0038551,24360,Kendre Miller,RB,NO,3.0,3.0,1.0,9.1,historical_forward_error_p80:RB,0.0188,unlikely,0,,,20.65,,adp_espn;adp_yahoo;prior_jugg_salary
135,nfl:gsis:00-0039391,26355,Kimani Vidal,RB,LAC,3.0,3.0,1.0,9.1,historical_forward_error_p80:RB,0.0372,unlikely,0,,,47.1,,adp_espn;adp_yahoo;prior_jugg_salary
136,nfl:gsis:00-0040238,27285,LeQuint Allen Jr.,RB,JAX,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.0259,unlikely,0,,,28.552,,adp_espn;adp_yahoo;prior_jugg_salary
137,nfl:def:LAC,8250,Los Angeles Chargers,DEF,LAC,3.0,3.0,1.2,4.8,historical_forward_error_p80:DEF,0.1981,unlikely,0,169.0,219.0,112.62,,prior_jugg_salary
138,nfl:gsis:00-0040198,25984,Ollie Gordon II,RB,MIA,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.0277,unlikely,0,,,30.88,,adp_espn;adp_yahoo;prior_jugg_salary
139,nfl:gsis:00-0036894,20163,Pat Freiermuth,TE,PIT,3.0,2.9,1.0,7.7,historical_forward_error_p80:TE,0.1247,unlikely,0,203.0,139.0,81.14,,prior_jugg_salary
140,nfl:gsis:00-0039875,26191,Ray Davis,RB,BUF,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.0255,unlikely,0,,,28.108,,adp_espn;adp_yahoo;prior_jugg_salary
141,nfl:gsis:00-0038951,23679,Sean Tucker,RB,TB,3.0,2.9,1.0,9.0,historical_forward_error_p80:RB,0.0275,unlikely,0,,,30.641,,adp_espn;adp_yahoo;prior_jugg_salary
142,nfl:gsis:00-0041125,23079,Seth McGowan,RB,IND,3.0,3.0,1.0,9.1,historical_forward_error_p80:RB,0.0181,unlikely,0,,,19.968,,adp_espn;adp_yahoo;prior_jugg_salary
143,nfl:gsis:00-0039032,25323,Tyjae Spears,RB,TEN,3.0,3.0,1.0,9.1,historical_forward_error_p80:RB,0.1757,unlikely,1,156.0,206.0,92.249,2,
